MapUnitKey,RatingStr,RatingNum,RgbString
dummy,dummy,123.456,dummy
520193,"92.0000",92.000000,"#0000FF"
520202,"92.0000",92.000000,"#0000FF"
520210,"78.0000",78.000000,"#4FBBFF"
520231,"28.0000",28.000000,"#C4FA9E"
520232,"28.0000",28.000000,"#C4FA9E"
520233,"28.0000",28.000000,"#C4FA9E"
520238,"28.0000",28.000000,"#C4FA9E"
520239,"28.0000",28.000000,"#C4FA9E"
520242,"28.0000",28.000000,"#C4FA9E"
520244,"28.0000",28.000000,"#C4FA9E"
520245,"28.0000",28.000000,"#C4FA9E"
520246,"9.0000",9.000000,"#FF0000"
520247,"9.0000",9.000000,"#FF0000"
520251,"28.0000",28.000000,"#C4FA9E"
520253,"28.0000",28.000000,"#C4FA9E"
520255,"28.0000",28.000000,"#C4FA9E"
520256,"28.0000",28.000000,"#C4FA9E"
520269,"9.0000",9.000000,"#FF0000"
520281,"7.7000",7.700000,"#FF0000"
520284,"",,"#DCDCDC"
520288,"2.7000",2.700000,"#FF0000"
520290,"9.0000",9.000000,"#FF0000"
520291,"9.0000",9.000000,"#FF0000"
520292,"9.0000",9.000000,"#FF0000"
520293,"9.0000",9.000000,"#FF0000"
520295,"9.0000",9.000000,"#FF0000"
520296,"9.0000",9.000000,"#FF0000"
520297,"23.0000",23.000000,"#FFD000"
520298,"23.0000",23.000000,"#FFD000"
520300,"9.0000",9.000000,"#FF0000"
520301,"9.0000",9.000000,"#FF0000"
520302,"9.0000",9.000000,"#FF0000"
520303,"23.0000",23.000000,"#FFD000"
520304,"23.0000",23.000000,"#FFD000"
520305,"23.0000",23.000000,"#FFD000"
520306,"23.0000",23.000000,"#FFD000"
520307,"9.0000",9.000000,"#FF0000"
520311,"9.0000",9.000000,"#FF0000"
520316,"9.0000",9.000000,"#FF0000"
520327,"28.0000",28.000000,"#C4FA9E"
520330,"9.0000",9.000000,"#FF0000"
520331,"9.0000",9.000000,"#FF0000"
520332,"9.0000",9.000000,"#FF0000"
520334,"9.0000",9.000000,"#FF0000"
520340,"9.0000",9.000000,"#FF0000"
520343,"9.0000",9.000000,"#FF0000"
520344,"",,"#DCDCDC"
520349,"",,"#DCDCDC"
520352,"28.0000",28.000000,"#C4FA9E"
520353,"28.0000",28.000000,"#C4FA9E"
520356,"28.0000",28.000000,"#C4FA9E"
520358,"23.0000",23.000000,"#FFD000"
520361,"23.0000",23.000000,"#FFD000"
520362,"9.0000",9.000000,"#FF0000"
520367,"9.0000",9.000000,"#FF0000"
520368,"9.0000",9.000000,"#FF0000"
520369,"9.0000",9.000000,"#FF0000"
520385,"9.0000",9.000000,"#FF0000"
520386,"9.0000",9.000000,"#FF0000"
520414,"23.0000",23.000000,"#FFD000"
520430,"23.0000",23.000000,"#FFD000"
520432,"",,"#DCDCDC"
