|"Side Slope"|||"34483230"|"13215133"
||"Tread"||"34483221"|"13215118"
||"Tread"||"34483241"|"13215149"
|"Base Slope"|||"34483199"|"13215088"
||"Tread"||"34483167"|"13215050"
||"Tread"||"34483158"|"13215034"
||"Tread"||"34483145"|"13215015"
||"Riser"||"34483168"|"13215052"
||"Tread"||"34483168"|"13215051"
||"Tread"||"34483179"|"13215066"
|"Interfluve"|||"34483127"|"13214985"
|"Nose Slope"|||"34483127"|"13214986"
|"Side Slope"|||"34483127"|"13214987"
|"Nose Slope"|||"34483114"|"13214967"
|"Side Slope"|||"34483114"|"13214968"
||"Tread"||"34483178"|"13215065"
