"GC-GM"|No |"65378097"|"121903945"
"CL"|Yes|"65378243"|"121904218"
"GC"|No |"65378243"|"121904219"
"SC"|No |"65378243"|"121904220"
"CL"|Yes|"65378370"|"121904497"
"CL-ML"|No |"65378370"|"121904498"
"CL"|Yes|"65378212"|"121904159"
"CL-ML"|No |"65378212"|"121904160"
"GC"|No |"65377993"|"121903739"
"GM"|No |"65377993"|"121903740"
"SC"|Yes|"65377993"|"121903741"
"SM"|No |"65377993"|"121903742"
"GC"|Yes|"65378232"|"121904195"
"SC"|No |"65378232"|"121904196"
"CH"|No |"65378337"|"121904429"
"CL"|Yes|"65378337"|"121904430"
"CL-ML"|Yes|"65378306"|"121904355"
"ML"|No |"65378306"|"121904356"
"CL"|No |"65378317"|"121904379"
"GC"|Yes|"65378317"|"121904380"
"CL"|Yes|"65378358"|"121904468"
"CL-ML"|No |"65378358"|"121904469"
"CL"|No |"65378368"|"121904491"
"SC"|No |"65378368"|"121904492"
"CH"|Yes|"65378368"|"121904493"
"ML"|Yes|"65378210"|"121904157"
"ML"|No |"65378369"|"121904494"
"CL-ML"|No |"65378369"|"121904495"
"CL"|Yes|"65378369"|"121904496"
"CL-ML"|Yes|"65378348"|"121904448"
"ML"|No |"65378348"|"121904449"
"CL"|Yes|"65378221"|"121904175"
"GC"|No |"65378005"|"121903766"
"GM"|No |"65378005"|"121903767"
"SC"|Yes|"65378005"|"121903768"
"SM"|No |"65378005"|"121903769"
"CL"|Yes|"65378359"|"121904470"
"CL-ML"|No |"65378359"|"121904471"
"CL"|Yes|"65378088"|"121903929"
"CL-ML"|No |"65378088"|"121903930"
"CH"|No |"65378307"|"121904357"
"CL"|No |"65378307"|"121904358"
"ML"|Yes|"65378307"|"121904359"
"CL"|Yes|"65378053"|"121903874"
"CL-ML"|No |"65378053"|"121903875"
"CL"|Yes|"65378066"|"121903897"
"CL-ML"|No |"65378066"|"121903898"
"CL"|No |"65378110"|"121903967"
"GC"|No |"65378110"|"121903968"
"GM"|No |"65378110"|"121903969"
"ML"|No |"65378110"|"121903970"
"GC-GM"|Yes|"65378110"|"121903971"
"CL"|Yes|"65378268"|"121904278"
"ML"|No |"65378268"|"121904279"
"GP"|No |"65378334"|"121904420"
"GW"|No |"65378334"|"121904421"
"SP-SM"|Yes|"65378334"|"121904422"
"CL-ML"|Yes|"65378007"|"121903770"
"ML"|No |"65378007"|"121903771"
"CL"|No |"65378371"|"121904499"
"SC"|No |"65378371"|"121904500"
"CH"|Yes|"65378371"|"121904501"
"GC"|Yes|"65378057"|"121903883"
"GC-GM"|No |"65378057"|"121903884"
"CL"|Yes|"65378331"|"121904409"
"ML"|No |"65378331"|"121904410"
"SC"|No |"65378331"|"121904411"
"SM"|No |"65378331"|"121904412"
"CL"|Yes|"65378068"|"121903900"
"CL"|Yes|"65378349"|"121904450"
"CL-ML"|No |"65378349"|"121904451"
"CL"|Yes|"65378094"|"121903939"
"GC-GM"|No |"65378094"|"121903940"
"CH"|Yes|"65378083"|"121903923"
"CH"|Yes|"65378058"|"121903885"
"CL"|Yes|"65378046"|"121903853"
"CL-ML"|No |"65378046"|"121903854"
"CL-ML"|Yes|"65378360"|"121904472"
"ML"|No |"65378360"|"121904473"
"CL"|Yes|"65378095"|"121903941"
"GC"|No |"65378095"|"121903942"
"GC-GM"|No |"65378095"|"121903943"
"CH"|No |"65378338"|"121904431"
"CL"|Yes|"65378338"|"121904432"
"GC"|Yes|"65378253"|"121904241"
"GC-GM"|No |"65378253"|"121904242"
"GM"|No |"65378253"|"121904243"
"CL"|Yes|"65378009"|"121903774"
"CL-ML"|No |"65378009"|"121903775"
"CL"|Yes|"65378183"|"121904115"
"ML"|Yes|"65378209"|"121904156"
"CH"|Yes|"65378084"|"121903924"
"GC"|No |"65378084"|"121903925"
"CH"|No |"65378047"|"121903855"
"CL"|No |"65378047"|"121903856"
"CH"|Yes|"65378047"|"121903857"
"SC"|No |"65378047"|"121903858"
"GC"|No |"65378316"|"121904374"
"GM"|No |"65378316"|"121904375"
"SC"|No |"65378316"|"121904376"
"SM"|No |"65378316"|"121904377"
"ML"|Yes|"65378316"|"121904378"
"CH"|No |"65378341"|"121904436"
"CL"|Yes|"65378341"|"121904437"
"CL"|No |"65378335"|"121904423"
"CL-ML"|Yes|"65378335"|"121904424"
"ML"|No |"65378335"|"121904425"
"CL"|Yes|"65378231"|"121904192"
"GC"|No |"65378231"|"121904193"
"SC"|No |"65378231"|"121904194"
"CH"|Yes|"65378087"|"121903928"
"CL-ML"|Yes|"65378357"|"121904466"
"ML"|No |"65378357"|"121904467"
"CL"|Yes|"65378345"|"121904443"
"CL"|Yes|"65378220"|"121904173"
"CH"|No |"65378220"|"121904174"
"CH"|No |"65378309"|"121904362"
"CL"|No |"65378309"|"121904363"
"ML"|Yes|"65378309"|"121904364"
"CL"|Yes|"65378367"|"121904489"
"CL-ML"|No |"65378367"|"121904490"
"CL"|Yes|"65378069"|"121903901"
"SC"|No |"65378069"|"121903902"
"CL-ML"|No |"65378198"|"121904141"
"ML"|No |"65378198"|"121904142"
"CL"|Yes|"65378198"|"121904143"
"CL"|No |"65378330"|"121904406"
"CL-ML"|Yes|"65378330"|"121904407"
"ML"|No |"65378330"|"121904408"
"CL"|Yes|"65378172"|"121904102"
"GC"|Yes|"65378235"|"121904202"
"GC-GM"|No |"65378235"|"121904203"
"GM"|No |"65378235"|"121904204"
"CL"|No |"65378246"|"121904223"
"GC"|No |"65378246"|"121904224"
"GM"|No |"65378246"|"121904225"
"ML"|No |"65378246"|"121904226"
"GC-GM"|Yes|"65378246"|"121904227"
"CH"|Yes|"65378161"|"121904076"
"CL"|No |"65378161"|"121904077"
"CL-ML"|No |"65378194"|"121904131"
"ML"|No |"65378194"|"121904132"
"CL"|Yes|"65378194"|"121904133"
"CH"|Yes|"65378113"|"121903978"
"CL"|Yes|"65378356"|"121904464"
"CL-ML"|No |"65378356"|"121904465"
"CL"|Yes|"65378261"|"121904261"
"GC"|No |"65378261"|"121904262"
"ML"|Yes|"65378205"|"121904152"
"CL-ML"|Yes|"65378308"|"121904360"
"ML"|No |"65378308"|"121904361"
"CL"|Yes|"65378187"|"121904119"
"CL"|Yes|"65378216"|"121904167"
"CH"|Yes|"65378102"|"121903954"
