1087|"502942"|"520193"|"30001384"
|"502943"|"520193"|"30001496"
|"502944"|"520193"|"30001608"
1087|"502945"|"520193"|"30001720"
1087|"502950"|"520193"|"30001867"
1087|"502951"|"520193"|"30001979"
6625|"502942"|"520202"|"30001387"
|"502943"|"520202"|"30001499"
|"502944"|"520202"|"30001611"
6625|"502945"|"520202"|"30001723"
6625|"502950"|"520202"|"30001870"
6625|"502951"|"520202"|"30001982"
1681|"502942"|"520210"|"30001388"
103|"502943"|"520210"|"30001500"
174|"502944"|"520210"|"30001612"
1958|"502945"|"520210"|"30001724"
1681|"502950"|"520210"|"30001871"
1681|"502951"|"520210"|"30001983"
99|"502942"|"520231"|"30001400"
240|"502943"|"520231"|"30001512"
|"502944"|"520231"|"30001624"
339|"502945"|"520231"|"30001726"
99|"502950"|"520231"|"30001883"
99|"502951"|"520231"|"30001995"
1846|"502942"|"520232"|"30001401"
984|"502943"|"520232"|"30001513"
25|"502944"|"520232"|"30001625"
2855|"502945"|"520232"|"30001727"
1846|"502950"|"520232"|"30001884"
1846|"502951"|"520232"|"30001996"
1238|"502942"|"520233"|"30001402"
283|"502943"|"520233"|"30001514"
|"502944"|"520233"|"30001626"
1521|"502945"|"520233"|"30001728"
1238|"502950"|"520233"|"30001885"
1238|"502951"|"520233"|"30001997"
2925|"502942"|"520238"|"30001404"
|"502943"|"520238"|"30001516"
|"502944"|"520238"|"30001628"
2925|"502945"|"520238"|"30001730"
2925|"502950"|"520238"|"30001887"
2925|"502951"|"520238"|"30001999"
702|"502942"|"520239"|"30001405"
24|"502943"|"520239"|"30001517"
|"502944"|"520239"|"30001629"
726|"502945"|"520239"|"30001731"
702|"502950"|"520239"|"30001888"
702|"502951"|"520239"|"30002000"
1046|"502942"|"520242"|"30001408"
45|"502943"|"520242"|"30001520"
|"502944"|"520242"|"30001632"
1091|"502945"|"520242"|"30001733"
1046|"502950"|"520242"|"30001891"
1046|"502951"|"520242"|"30002003"
1150|"502942"|"520244"|"30001409"
1709|"502943"|"520244"|"30001521"
43|"502944"|"520244"|"30001633"
2902|"502945"|"520244"|"30001734"
1150|"502950"|"520244"|"30001892"
1150|"502951"|"520244"|"30002004"
75|"502942"|"520245"|"30001410"
115|"502943"|"520245"|"30001522"
15|"502944"|"520245"|"30001634"
205|"502945"|"520245"|"30001735"
75|"502950"|"520245"|"30001893"
75|"502951"|"520245"|"30002005"
594|"502942"|"520246"|"30001411"
4|"502943"|"520246"|"30001523"
170|"502944"|"520246"|"30001635"
768|"502945"|"520246"|"30001736"
594|"502950"|"520246"|"30001894"
594|"502951"|"520246"|"30002006"
720|"502942"|"520247"|"30001412"
0|"502943"|"520247"|"30001524"
167|"502944"|"520247"|"30001636"
887|"502945"|"520247"|"30001737"
720|"502950"|"520247"|"30001895"
720|"502951"|"520247"|"30002007"
599|"502942"|"520251"|"30001414"
56|"502943"|"520251"|"30001526"
20|"502944"|"520251"|"30001638"
675|"502945"|"520251"|"30001739"
599|"502950"|"520251"|"30001897"
599|"502951"|"520251"|"30002009"
364|"502942"|"520253"|"30001415"
|"502943"|"520253"|"30001527"
|"502944"|"520253"|"30001639"
364|"502945"|"520253"|"30001740"
364|"502950"|"520253"|"30001898"
364|"502951"|"520253"|"30002010"
522|"502942"|"520255"|"30001417"
190|"502943"|"520255"|"30001529"
16|"502944"|"520255"|"30001641"
728|"502945"|"520255"|"30001742"
|"502949"|"520255"|"30001842"
522|"502950"|"520255"|"30001900"
522|"502951"|"520255"|"30002012"
566|"502942"|"520256"|"30001418"
98|"502943"|"520256"|"30001530"
12|"502944"|"520256"|"30001642"
676|"502945"|"520256"|"30001743"
|"502949"|"520256"|"30001843"
566|"502950"|"520256"|"30001901"
566|"502951"|"520256"|"30002013"
411|"502942"|"520269"|"30001428"
78|"502943"|"520269"|"30001540"
31|"502944"|"520269"|"30001652"
520|"502945"|"520269"|"30001745"
411|"502950"|"520269"|"30001911"
411|"502951"|"520269"|"30002023"
351|"502942"|"520281"|"30001435"
|"502943"|"520281"|"30001547"
|"502944"|"520281"|"30001659"
351|"502945"|"520281"|"30001752"
351|"502950"|"520281"|"30001918"
351|"502951"|"520281"|"30002030"
304|"502942"|"520284"|"30001438"
130|"502943"|"520284"|"30001550"
|"502944"|"520284"|"30001662"
434|"502945"|"520284"|"30001753"
|"502949"|"520284"|"30001854"
304|"502950"|"520284"|"30001921"
304|"502951"|"520284"|"30002033"
124|"502942"|"520288"|"30001439"
|"502943"|"520288"|"30001551"
|"502944"|"520288"|"30001663"
124|"502945"|"520288"|"30001754"
124|"502950"|"520288"|"30001922"
124|"502951"|"520288"|"30002034"
47|"502942"|"520290"|"30001440"
99|"502943"|"520290"|"30001552"
|"502944"|"520290"|"30001664"
146|"502945"|"520290"|"30001755"
47|"502950"|"520290"|"30001923"
47|"502951"|"520290"|"30002035"
943|"502942"|"520291"|"30001441"
44|"502943"|"520291"|"30001553"
72|"502944"|"520291"|"30001665"
1059|"502945"|"520291"|"30001756"
943|"502950"|"520291"|"30001924"
943|"502951"|"520291"|"30002036"
555|"502942"|"520292"|"30001442"
0|"502943"|"520292"|"30001554"
187|"502944"|"520292"|"30001666"
742|"502945"|"520292"|"30001757"
555|"502950"|"520292"|"30001925"
555|"502951"|"520292"|"30002037"
277|"502942"|"520293"|"30001443"
0|"502943"|"520293"|"30001555"
364|"502944"|"520293"|"30001667"
641|"502945"|"520293"|"30001758"
277|"502950"|"520293"|"30001926"
277|"502951"|"520293"|"30002038"
826|"502942"|"520295"|"30001445"
|"502943"|"520295"|"30001557"
