"t"|"65378052"|"27121474"
"p"|"65378215"|"27121477"
"p"|"65378366"|"27121483"
"p"|"65378218"|"27121480"
"t"|"65378368"|"27121484"
"p"|"65378369"|"27121485"
"p"|"65378053"|"27121475"
"t"|"65378371"|"27121486"
"p"|"65378046"|"27121468"
"t"|"65378047"|"27121469"
"t"|"65378220"|"27121482"
"t"|"65378216"|"27121478"
"t"|"65378054"|"27121476"
"p"|"65378363"|"27121487"
"t"|"65378217"|"27121479"
"t"|"65378050"|"27121472"
"t"|"65378365"|"27121488"
"t"|"65378048"|"27121470"
"p"|"65378049"|"27121471"
"t"|"65378051"|"27121473"
"t"|"65378219"|"27121481"
