"Summit"|"34483229"|"14387613"
"Shoulder"|"34483229"|"14387612"
"Backslope"|"34483229"|"14387614"
"Summit"|"34483119"|"14387507"
"Shoulder"|"34483119"|"14387506"
"Backslope"|"34483119"|"14387508"
"Summit"|"34483129"|"14387523"
"Shoulder"|"34483129"|"14387522"
"Backslope"|"34483129"|"14387524"
"Footslope"|"34483200"|"14387589"
"Backslope"|"34483163"|"14387565"
"Summit"|"34483123"|"14387510"
"Shoulder"|"34483123"|"14387511"
"Backslope"|"34483118"|"14387505"
"Backslope"|"34483218"|"14387605"
"Backslope"|"34483092"|"14387473"
"Summit"|"34483126"|"14387516"
"Shoulder"|"34483126"|"14387517"
"Footslope"|"34483207"|"14387595"
"Summit"|"34483170"|"14387576"
"Shoulder"|"34483170"|"14387575"
"Backslope"|"34483170"|"14387577"
"Summit"|"34483233"|"14387621"
"Shoulder"|"34483233"|"14387620"
"Backslope"|"34483233"|"14387622"
"Shoulder"|"34483111"|"14387496"
"Backslope"|"34483111"|"14387497"
"Footslope"|"34483166"|"14387568"
"Backslope"|"34483132"|"14387529"
"Summit"|"34483130"|"14387526"
"Shoulder"|"34483130"|"14387525"
"Backslope"|"34483130"|"14387527"
"Backslope"|"34483131"|"14387528"
"Summit"|"34483234"|"14387624"
"Shoulder"|"34483234"|"14387623"
"Backslope"|"34483234"|"14387625"
"Footslope"|"34483245"|"14387628"
"Backslope"|"34483121"|"14387509"
"Backslope"|"34483152"|"14387552"
"Summit"|"34483089"|"14387468"
"Shoulder"|"34483089"|"14387470"
"Backslope"|"34483089"|"14387469"
"Summit"|"34483162"|"14387563"
"Shoulder"|"34483162"|"14387562"
"Backslope"|"34483162"|"14387564"
"Backslope"|"34483171"|"14387578"
"Summit"|"34483110"|"14387494"
"Shoulder"|"34483110"|"14387495"
"Summit"|"34483160"|"14387557"
"Shoulder"|"34483160"|"14387558"
"Footslope"|"34483205"|"14387594"
"Backslope"|"34483236"|"14387626"
"Backslope"|"34483215"|"14387602"
"Backslope"|"34483237"|"14387627"
"Backslope"|"34483153"|"14387553"
"Summit"|"34483214"|"14387600"
"Shoulder"|"34483214"|"14387599"
"Backslope"|"34483214"|"14387601"
"Toeslope"|"34483198"|"14387587"
"Backslope"|"34483216"|"14387603"
"Backslope"|"34483154"|"14387554"
"Backslope"|"34483231"|"14387618"
"Summit"|"34483161"|"14387560"
"Shoulder"|"34483161"|"14387559"
"Backslope"|"34483161"|"14387561"
"Summit"|"34483124"|"14387513"
"Shoulder"|"34483124"|"14387512"
"Backslope"|"34483124"|"14387514"
"Backslope"|"34483217"|"14387604"
"Backslope"|"34483113"|"14387500"
"Footslope"|"34483165"|"14387567"
"Summit"|"34483228"|"14387610"
"Shoulder"|"34483228"|"14387609"
"Backslope"|"34483228"|"14387611"
"Summit"|"34483109"|"14387492"
"Shoulder"|"34483109"|"14387493"
"Summit"|"34483227"|"14387607"
"Shoulder"|"34483227"|"14387606"
"Backslope"|"34483227"|"14387608"
"Footslope"|"34483201"|"14387590"
"Summit"|"34483213"|"14387597"
"Shoulder"|"34483213"|"14387596"
"Backslope"|"34483213"|"14387598"
"Backslope"|"34483202"|"14387591"
"Summit"|"34483169"|"14387573"
"Shoulder"|"34483169"|"14387572"
"Backslope"|"34483169"|"14387574"
"Backslope"|"34483094"|"14387474"
"Footslope"|"34483197"|"14387586"
"Backslope"|"34483232"|"14387619"
"Summit"|"34483230"|"14387616"
"Shoulder"|"34483230"|"14387615"
"Backslope"|"34483230"|"14387617"
"Footslope"|"34483199"|"14387588"
"Summit"|"34483167"|"14387569"
"Shoulder"|"34483168"|"14387570"
"Backslope"|"34483168"|"14387571"
"Summit"|"34483127"|"14387519"
"Shoulder"|"34483127"|"14387518"
"Backslope"|"34483127"|"14387520"
"Backslope"|"34483114"|"14387501"
