"not used"|"22142364"|"15500758"
"not used"|"22142368"|"15500761"
"not used"|"22142369"|"15500762"
"not used"|"22142370"|"15500763"
"not used"|"22142382"|"15500774"
"not used"|"22142383"|"15500775"
"not used"|"22142384"|"15500776"
"not used"|"22142386"|"15500778"
"not used"|"22142387"|"15500779"
"not used"|"22142390"|"15500782"
"not used"|"22142391"|"15500783"
"not used"|"22142393"|"15500784"
"not used"|"22142395"|"15500785"
"not used"|"22142396"|"15500786"
"not used"|"22142398"|"15500788"
"not used"|"22142399"|"15500789"
"not used"|"22142401"|"15500791"
"not used"|"22142402"|"15500792"
"not used"|"22142403"|"15500793"
"not used"|"22142404"|"15500794"
"not used"|"22142417"|"15500805"
"not used"|"22142424"|"15500812"
"not used"|"22142429"|"15500815"
"not used"|"22142430"|"15500816"
"not used"|"22142431"|"15500817"
"not used"|"22142432"|"15500818"
"not used"|"22142433"|"15500819"
"not used"|"22142435"|"15500821"
"not used"|"22142436"|"15500822"
"not used"|"22142437"|"15500823"
"not used"|"22142438"|"15500824"
"not used"|"22142439"|"15500825"
"not used"|"22142440"|"15500826"
"not used"|"22142441"|"15500827"
"not used"|"22142442"|"15500828"
"not used"|"22142443"|"15500829"
"not used"|"22142444"|"15500830"
"not used"|"22142446"|"15500831"
"not used"|"22142448"|"15500832"
"not used"|"22142449"|"15500833"
"not used"|"22142450"|"15500834"
"not used"|"22142451"|"15500835"
"not used"|"22142452"|"15500836"
"not used"|"22142454"|"15500837"
"not used"|"22142462"|"15500845"
"not used"|"22142463"|"15500846"
"not used"|"22142464"|"15500847"
"not used"|"22142465"|"15500848"
"not used"|"22142466"|"15500849"
"not used"|"22142469"|"15500852"
"not used"|"22142471"|"15500853"
"not used"|"22142473"|"15500854"
"not used"|"22142475"|"15500855"
"not used"|"22142476"|"15500856"
"not used"|"22142477"|"15500857"
"not used"|"22142478"|"15500858"
"not used"|"22142479"|"15500859"
"not used"|"22142480"|"15500860"
"not used"|"22142483"|"15500862"
"not used"|"22142485"|"15500863"
"not used"|"22142486"|"15500864"
"not used"|"22142487"|"15500865"
"shallow"|"22142488"|"15500866"
"not used"|"22142489"|"15500867"
"shallow"|"22142490"|"15500868"
"not used"|"22142491"|"15500869"
"shallow"|"22142492"|"15500870"
"not used"|"22142493"|"15500871"
"shallow"|"22142494"|"15500872"
"not used"|"22142495"|"15500873"
"shallow"|"22142497"|"15500874"
"not used"|"22142498"|"15500875"
"not used"|"22142501"|"15500877"
"not used"|"22142502"|"15500878"
"not used"|"22142503"|"15500879"
"not used"|"22142504"|"15500880"
